Article ID,Source,Title,Year,Date,Time
m_14080701,Mainichi,山口・公明代表:１５日の靖国参拝、首相に自制要求,2014,08,07
m_14081501,Mainichi,終戦記念日:２閣僚が靖国参拝　古屋、新藤両氏　首相は玉串料,2014,08,15
m_14081601,Mainichi,終戦記念日:超党派議連８４人が靖国神社参拝　政府側の９人含め,2014,08,16
m_14081602,Mainichi,クローズアップ２０１４:首相、靖国参拝見送り　首脳会談へ対中配慮,2014,08,16
m_14081603,Mainichi,終戦記念日:３閣僚が靖国参拝　首相は見送り,2014,08,16
m_14090601,Mainichi,高市総務相:「靖国参拝続ける」,2014,09,06
m_14091301,Mainichi,有村女性活躍相:靖国参拝に意欲,2014,09,13
m_14092701,Mainichi,松島法相:「在任中、靖国参拝せず」,2014,09,27
m_14101401,Mainichi,高市総務相:靖国参拝明言,2014,10,14
m_14101601,Mainichi,山口・公明代表:靖国参拝自粛求める,2014,10,16
m_14101701,Mainichi,靖国神社:小里副環境相ら集団参拝,2014,10,17
m_14101801,Mainichi,靖国神社:例大祭、首相が真榊奉納　中国「断固たる反対」,2014,10,18
m_14101802,Mainichi,靖国神社:高市、山谷氏が参拝　安倍改造内閣の閣僚で初,2014,10,18
m_14101901,Mainichi,靖国神社:女性３閣僚が参拝　２人は大臣名で記帳,2014,10,19
m_14101902,Mainichi,靖国神社:女性３閣僚が参拝　中国外務省、自制を申し入れ,2014,10,19
m_15010101,Mainichi,建造物侵入:靖国に放火か　２５歳男を容疑で逮捕,2015,01,01
m_15041701,Mainichi,靖国神社:春季例大祭、閣僚の参拝は,2015,04,17
m_15042101,Mainichi,安倍首相:靖国例大祭に真榊奉納　参拝は見送り方針,2015,04,21
m_15042201,Mainichi,靖国神社:昨年より減、１０６議員が参拝…春季例大祭,2015,04,22
m_15042301,Mainichi,靖国神社:山谷国家公安委員長と有村治子女性担当相が参拝,2015,04,23
m_15042303,Mainichi,靖国神社:女性３閣僚が参拝…春季例大祭,2015,04,23
