Article ID,Source,Title,Year,Date,Time
s_14053101,Sankei,首相の靖国参拝発言で会場に賛同の拍手　アジア安保会議,2014,05,31
s_14080601,Sankei,公明代表、８月１５日の靖国参拝で首相に自制要求,2014,08,06
s_14081501,Sankei,安倍首相「英霊に哀悼の誠を」　靖国神社に玉串料　２閣僚が参拝（1/2ページ）,2014,08,15
s_14081502,Sankei,【靖国参拝】古屋拉致担当相「平和を祈念し参拝した」,2014,08,15
s_14081503,Sankei,【靖国参拝】根本復興相「自然な気持ちで参拝」　時期は明言せず,2014,08,15
s_14081504,Sankei,【靖国参拝】超党派議連　参拝議員数を８４人と訂正,2014,08,15
s_14081505,Sankei,【靖国参拝】「慨嘆を禁じ得ない」　玉串奉納、閣僚ら参拝で韓国外務省,2014,08,15
s_14081506,Sankei,【終戦の日】靖国神社に参拝者の列　戦友の冥福祈る男性「そっちで元気にやってるか」（1/2ページ）,2014,08,15
s_14081507,Sankei,【靖国参拝】超党派議連が参拝　自民・高市政調会長、次世代・平沼党首ら,2014,08,15
s_14081508,Sankei,「戦争起こさない」　千葉知事が靖国神社参拝,2014,08,15
s_14081509,Sankei,【靖国参拝】新藤総務相、中韓の反対意向に「懸念にはつながらない」,2014,08,15
s_14081601,Sankei,終戦の日　全国から若者も　「英霊に手を合わせるのは当たり前」,2014,08,16
s_14090501,Sankei,高市総務相　「今後も自然体で靖国神社を参拝する」,2014,09,05
s_14092601,Sankei,「靖国参拝しない」と松島法相　外国特派員協会で,2014,09,26
s_14101401,Sankei,高市総務相、靖国参拝の意向　秋季例大祭で,2014,10,14
s_14101501,Sankei,公明幹部、高市氏の靖国参拝に不快感　「日中の微妙な時期だから…」,2014,10,15
s_14101701,Sankei,「重大な関心を表明し断固反対」と中国、真榊奉納に８月と同じ対応,2014,10,17
s_14101702,Sankei,谷垣氏「世代で受け止め方違う」　首相の真榊奉納で,2014,10,17
s_14101703,Sankei,安倍首相、靖国神社に供物　参拝見送り　超党派議連は１１１人が参拝,2014,10,17
s_14101801,Sankei,米、靖国参拝見送りを注視　真榊奉納は論評せず,2014,10,18
s_14101802,Sankei,高市総務相ら女性３閣僚が靖国参拝,2014,10,18
s_14101803,Sankei,「欧州にいても靖国神社拝むこと忘れない」　中国紙、安倍首相を批判,2014,10,18
s_14101804,Sankei,「侵略戦争の美化に厳しく抗議」　閣僚の靖国参拝に共産・山下氏,2014,10,18
s_14102201,Sankei,第二次大戦インパール作戦で激突　日英の元兵士ら２４日靖国参拝（1/2ページ）,2014,10,22
s_14102701,Sankei,北朝鮮・労働新聞　安倍首相の靖国奉納、閣僚参拝を非難　「人類の良心への挑戦」,2014,10,27
s_14110401,Sankei,靖国参拝自粛「了解は存在しない」　政府答弁書で中国側主張を否定,2014,11,04
s_14121601,Sankei,「政治的行動は避けるのが賢明」靖国参拝にくぎ刺す　安倍首相“信任”でワシントン・ポスト,2014,12,16
s_14122401,Sankei,「日本の心学び、母国に伝える」　在日ネパール人が靖国参拝　東京,2014,12,24
s_14123101,Sankei,靖国神社境内でボヤ、「ごめんなさい」と震える男を建造物侵入容疑で逮捕　警視庁,2014,12,31
s_14123102,Sankei,「靖国で自殺すれば葬ってもらえる」建造物侵入容疑で逮捕の男、震えながら「ごめんなさい」　警視庁、放火容疑でも立件へ,2014,12,31
s_15011201,Sankei,首相の動向を注視　中国、靖国神社答弁書で,2015,01,12
s_15042101,Sankei,首相が靖国例大祭で真榊奉納　参拝は見送りへ,2015,04,21
s_15042102,Sankei,菅官房長官「首相の真榊奉納は私人としての行動」　,2015,04,21
s_15042103,Sankei,韓国、安倍首相の真榊奉納は「国際秩序を否定」と批判　ただし論評は出さず、配慮か,2015,04,21
s_15042201,Sankei,超党派議連１００人超が靖国参拝　,2015,04,22
s_15042202,Sankei,靖国集団参拝に中国メディア、批判や論評避ける,2015,04,22
s_15042203,Sankei,首相靖国奉納に韓国「嘆かわしい」,2015,04,22
s_15042301,Sankei,高市氏ら３閣僚が靖国参拝,2015,04,23
s_15042302,Sankei,中国外務省、山谷氏ら靖国参拝に「誤った態度だ」,2015,04,23
s_15042801,Sankei,自民・稲田氏が靖国神社参拝,2015,04,28
