Source,Word,Count,Type
Mainichi,なる,3,動詞
Mainichi,取り組ん,1,動詞
Mainichi,１８,4,名詞
Mainichi,電話,1,名詞
Mainichi,新聞,1,名詞
Mainichi,環境,4,名詞
Mainichi,流れ,1,動詞
Mainichi,２６,3,名詞
Mainichi,模様,1,名詞
Mainichi,所属,2,名詞
Mainichi,山幸,3,名詞
Mainichi,培っ,2,動詞
Mainichi,日本大使館,2,名詞
Mainichi,求め,2,動詞
Mainichi,岩井茂樹,1,名詞
Mainichi,批判,5,名詞
Mainichi,誓い,2,動詞
Mainichi,萩生田光一,2,名詞
Mainichi,自由,2,名詞
Mainichi,放火,1,名詞
Mainichi,言及,2,名詞
Mainichi,来月,1,名詞
Mainichi,見送り,2,動詞
Mainichi,合同,1,名詞
Mainichi,数,1,名詞
Mainichi,記帳,2,名詞
Mainichi,代表,3,名詞
Mainichi,向け,1,動詞
Mainichi,塩崎恭久,1,名詞
Mainichi,志位和夫,1,名詞
Mainichi,石原慎太郎,1,名詞
Mainichi,今,1,名詞
Mainichi,受け,3,動詞
Mainichi,国,6,名詞
Mainichi,関する,1,動詞
Mainichi,会派,1,名詞
Mainichi,明奈,4,名詞
Mainichi,総務,17,名詞
Mainichi,演説,1,名詞
Mainichi,哲,2,名詞
Mainichi,日韓,1,名詞
Mainichi,大臣,7,名詞
Mainichi,失望,3,名詞
Mainichi,都,3,名詞
Mainichi,閣僚,18,名詞
Mainichi,触れ,1,動詞
Mainichi,命,3,名詞
Mainichi,外壁,1,名詞
Mainichi,亮介,1,名詞
Mainichi,阿部,1,名詞
Mainichi,模索,2,名詞
Mainichi,身,1,名詞
Mainichi,自然,1,名詞
Mainichi,担当,8,名詞
Mainichi,顔ぶれ,1,名詞
Mainichi,３１,1,名詞
Mainichi,詳細,1,名詞
Mainichi,重ね,1,動詞
Mainichi,女性,7,名詞
Mainichi,会談,7,名詞
Mainichi,欧州,1,名詞
Mainichi,２１,6,名詞
Mainichi,科学,1,名詞
Mainichi,米国,3,名詞
Mainichi,逮捕,1,名詞
Mainichi,麹町,1,名詞
Mainichi,一念,1,名詞
Mainichi,出発,1,名詞
Mainichi,つもり,2,名詞
Mainichi,つながら,1,動詞
Mainichi,理解,1,名詞
Mainichi,同様,1,名詞
Mainichi,主張,1,名詞
Mainichi,なっ,3,動詞
Mainichi,無職,1,名詞
Mainichi,新藤義孝,3,名詞
Mainichi,上回っ,1,動詞
Mainichi,示し,6,動詞
Mainichi,山田宏,1,名詞
Mainichi,ここ,1,名詞
Mainichi,集団,6,名詞
Mainichi,抑え,1,動詞
Mainichi,出席,2,名詞
Mainichi,復興,2,名詞
Mainichi,古屋圭司,2,名詞
Mainichi,国家,8,名詞
Mainichi,自ら,2,名詞
Mainichi,夕,1,名詞
Mainichi,宮島,1,名詞
Mainichi,初,1,名詞
Mainichi,恒久,2,名詞
Mainichi,外国,1,名詞
Mainichi,侵入,1,名詞
Mainichi,会,14,名詞
Mainichi,玉串料,6,名詞
Mainichi,置く,1,動詞
Mainichi,５,7,名詞
Mainichi,決める,1,動詞
Mainichi,経済,4,名詞
Mainichi,いけ,1,動詞
Mainichi,判断,3,名詞
Mainichi,必要,1,名詞
Mainichi,慰霊,1,名詞
Mainichi,非難,1,名詞
Mainichi,侵略,3,名詞
Mainichi,敬い,1,動詞
Mainichi,会見,3,名詞
Mainichi,供え物,6,名詞
Mainichi,感謝,6,名詞
Mainichi,知ら,1,動詞
Mainichi,守,1,名詞
Mainichi,声明,1,名詞
Mainichi,問題,4,名詞
Mainichi,２０,1,名詞
Mainichi,政権,2,名詞
Mainichi,容疑,1,名詞
Mainichi,中,2,名詞
Mainichi,首相,38,名詞
Mainichi,今月,1,名詞
Mainichi,得る,1,動詞
Mainichi,北,7,名詞
Mainichi,信頼,2,名詞
Mainichi,東京都,2,名詞
Mainichi,国民,3,名詞
Mainichi,合う,1,動詞
Mainichi,平和,5,名詞
Mainichi,協会,1,名詞
Mainichi,反発,4,名詞
Mainichi,有村,7,名詞
Mainichi,工藤,2,名詞
Mainichi,もっ,1,動詞
Mainichi,支払っ,1,動詞
Mainichi,党派,9,名詞
Mainichi,最多,1,名詞
Mainichi,指摘,2,名詞
Mainichi,主席,1,名詞
Mainichi,１１,3,名詞
Mainichi,お参り,2,名詞
Mainichi,７,1,名詞
Mainichi,考え,3,動詞
Mainichi,際,1,名詞
Mainichi,時期,2,名詞
Mainichi,晃,1,名詞
Mainichi,見送る,4,動詞
Mainichi,前,1,名詞
Mainichi,全うする,1,動詞
Mainichi,建造物,1,名詞
Mainichi,国策,3,名詞
Mainichi,あり,2,動詞
Mainichi,一人,5,名詞
Mainichi,方式,1,名詞
Mainichi,参拝,104,名詞
Mainichi,見せ,1,動詞
Mainichi,時間,1,名詞
Mainichi,秋季,8,名詞
Mainichi,実際,2,名詞
Mainichi,開催,1,名詞
Mainichi,特派員,1,名詞
Mainichi,遠藤,1,名詞
Mainichi,都内,2,名詞
Mainichi,日本,10,名詞
Mainichi,武藤容治,1,名詞
Mainichi,男,3,名詞
Mainichi,住む,1,動詞
Mainichi,マイナス,1,名詞
Mainichi,うち,1,名詞
Mainichi,対し,3,動詞
Mainichi,相次ぐ,1,動詞
Mainichi,誠,7,名詞
Mainichi,追悼,2,名詞
Mainichi,いう,8,動詞
Mainichi,記者会見,12,名詞
Mainichi,控える,1,動詞
Mainichi,共産党,1,名詞
Mainichi,訪米,1,名詞
Mainichi,会議,8,名詞
Mainichi,逢沢一郎,1,名詞
Mainichi,地元,2,名詞
Mainichi,拓,1,名詞
Mainichi,北方,1,名詞
Mainichi,火,1,名詞
Mainichi,一員,1,名詞
Mainichi,普通,1,名詞
Mainichi,議員,13,名詞
Mainichi,中韓,5,名詞
Mainichi,統一,1,名詞
