Source,Word,Count,Type
Nikkei,理由,1,名詞
Nikkei,６,1,名詞
Nikkei,国務,2,名詞
Nikkei,方向,4,名詞
Nikkei,開く,2,動詞
Nikkei,環境,1,名詞
Nikkei,小泉,1,名詞
Nikkei,14,2,名詞
Nikkei,決まっ,1,動詞
Nikkei,含ま,1,動詞
Nikkei,三番町,1,名詞
Nikkei,本会議,1,名詞
Nikkei,28,6,名詞
Nikkei,政調,5,名詞
Nikkei,２,6,名詞
Nikkei,補佐官,4,名詞
Nikkei,務める,1,動詞
Nikkei,日,4,名詞
Nikkei,重ね,1,動詞
Nikkei,友好,1,名詞
Nikkei,太平洋,5,名詞
Nikkei,対する,2,動詞
Nikkei,国内,1,名詞
Nikkei,常務,1,名詞
Nikkei,終わる,1,動詞
Nikkei,総理,5,名詞
Nikkei,裁判,1,名詞
Nikkei,必至,1,名詞
Nikkei,当然,2,名詞
Nikkei,山谷えり子,6,名詞
Nikkei,荒唐無稽,1,名詞
Nikkei,献花,1,名詞
Nikkei,会長,18,名詞
Nikkei,公安,5,名詞
Nikkei,労働,3,名詞
Nikkei,み,2,動詞
Nikkei,決める,1,動詞
Nikkei,よる,4,動詞
Nikkei,韓国,10,名詞
Nikkei,示し,8,動詞
Nikkei,それぞれ,2,名詞
Nikkei,活躍,5,名詞
Nikkei,毎回,1,名詞
Nikkei,1952,1,名詞
Nikkei,1975,1,名詞
Nikkei,問題,13,名詞
Nikkei,公明党,3,名詞
Nikkei,私,1,名詞
Nikkei,和歌,1,名詞
Nikkei,洪磊,3,名詞
Nikkei,18,4,名詞
Nikkei,私人,7,名詞
Nikkei,日本,13,名詞
Nikkei,上,1,名詞
Nikkei,つい,22,動詞
Nikkei,動向,1,名詞
Nikkei,みんな,6,名詞
Nikkei,今回,4,名詞
Nikkei,塩崎恭久,3,名詞
Nikkei,表する,1,動詞
Nikkei,次,1,名詞
Nikkei,確保,1,名詞
Nikkei,資する,1,動詞
Nikkei,引き続き,1,動詞
Nikkei,当初,1,名詞
Nikkei,日韓,1,名詞
Nikkei,追悼,3,名詞
Nikkei,見通し,1,動詞
Nikkei,踏まえ,3,動詞
Nikkei,23,13,名詞
Nikkei,１５,1,名詞
Nikkei,高市早苗,11,名詞
Nikkei,みたままつり,1,名詞
Nikkei,題する,1,動詞
Nikkei,平成,1,名詞
Nikkei,80,1,名詞
Nikkei,方針,2,名詞
Nikkei,いう,5,動詞
Nikkei,避け,1,動詞
Nikkei,結びつい,1,動詞
Nikkei,創造,6,名詞
Nikkei,国策,2,名詞
Nikkei,点,1,名詞
Nikkei,語る,1,動詞
Nikkei,インタビュー,1,名詞
Nikkei,供物,8,名詞
Nikkei,明るみ,1,動詞
Nikkei,一,2,名詞
Nikkei,両国,4,名詞
Nikkei,折,1,名詞
