Source,Word,Count,Type
Sankei,山谷えり子,4,名詞
Sankei,メートル,1,名詞
Sankei,広島県,1,名詞
Sankei,講演,1,名詞
Sankei,新聞,1,名詞
Sankei,行為,4,名詞
Sankei,友人,1,名詞
Sankei,中曽根康弘,1,名詞
Sankei,呼ば,8,動詞
Sankei,米国,1,名詞
Sankei,訪問,7,名詞
Sankei,とき,2,名詞
Sankei,神,1,名詞
Sankei,練馬区,1,名詞
Sankei,それぞれ,3,名詞
Sankei,解放,1,名詞
Sankei,朝,1,名詞
Sankei,１００,1,名詞
Sankei,誠,7,名詞
Sankei,処理,1,名詞
Sankei,なら,1,動詞
Sankei,関し,5,動詞
Sankei,発表,4,名詞
Sankei,部隊,1,名詞
Sankei,もっ,2,動詞
Sankei,終戦,8,名詞
Sankei,新京報,1,名詞
Sankei,前提,1,名詞
Sankei,見送っ,2,動詞
Sankei,控える,1,動詞
Sankei,９２,1,名詞
Sankei,見出し,1,名詞
Sankei,稲田,2,名詞
Sankei,参拝,99,名詞
Sankei,受け,4,動詞
Sankei,額,2,名詞
Sankei,ネパール,5,名詞
Sankei,平方,1,名詞
Sankei,み,2,動詞
Sankei,運営,1,名詞
Sankei,持ち,1,動詞
Sankei,答弁書,2,名詞
Sankei,いえる,1,動詞
Sankei,墓地,1,名詞
Sankei,配慮,4,名詞
Sankei,担当,7,名詞
Sankei,尽くさ,1,動詞
Sankei,国内,1,名詞
Sankei,感慨,1,名詞
Sankei,ところ,1,名詞
Sankei,２６,2,名詞
Sankei,わたっ,1,動詞
Sankei,紳士協定,1,名詞
Sankei,小野寺,1,名詞
Sankei,改革,2,名詞
Sankei,義則,1,名詞
Sankei,もの,4,名詞
Sankei,戦地,2,名詞
Sankei,かい,1,名詞
Sankei,鎮魂,1,名詞
Sankei,管理,1,名詞
Sankei,カルキ,1,名詞
Sankei,一人,1,名詞
Sankei,復帰,1,名詞
Sankei,示唆,1,名詞
Sankei,６９,1,名詞
Sankei,ま,1,動詞
Sankei,よしひで,1,名詞
Sankei,５,5,名詞
Sankei,有村,2,名詞
Sankei,出し,2,動詞
Sankei,稲田朋美,1,名詞
Sankei,補佐官,1,名詞
Sankei,就任,1,名詞
Sankei,世界,1,名詞
Sankei,思っ,3,動詞
Sankei,監督,1,名詞
Sankei,中国側,1,名詞
Sankei,間,3,名詞
Sankei,総理,3,名詞
Sankei,そば,4,名詞
Sankei,象徴,2,名詞
Sankei,申し上げ,1,動詞
